2025-11-23 21:11:37.273 [info] Reading sessions from keychain...
2025-11-23 21:11:37.273 [info] Getting sessions for all scopes...
2025-11-23 21:11:37.273 [info] Getting sessions for all scopes...
2025-11-23 21:11:37.273 [info] Getting sessions for all scopes...
2025-11-23 21:11:37.273 [info] Getting sessions for all scopes...
2025-11-23 21:11:37.273 [info] Getting sessions for all scopes...
2025-11-23 21:11:37.273 [info] Getting sessions for all scopes...
2025-11-23 21:11:37.273 [info] Getting sessions for all scopes...
2025-11-23 21:11:37.274 [info] Got 0 sessions for ...
2025-11-23 21:11:37.274 [info] Got 0 sessions for ...
2025-11-23 21:11:37.274 [info] Got 0 sessions for ...
2025-11-23 21:11:37.274 [info] Got 0 sessions for ...
2025-11-23 21:11:37.274 [info] Got 0 sessions for ...
2025-11-23 21:11:37.274 [info] Got 0 sessions for ...
2025-11-23 21:11:37.274 [info] Got 0 sessions for ...
2025-11-23 21:11:38.066 [info] Getting sessions for all scopes...
2025-11-23 21:11:38.066 [info] Got 0 sessions for ...
2025-11-23 21:11:39.203 [info] Getting sessions for read:user,repo,user:email,workflow...
2025-11-23 21:11:39.203 [info] Got 0 sessions for read:user,repo,user:email,workflow...
2025-11-23 21:11:39.872 [info] Getting sessions for all scopes...
2025-11-23 21:11:39.872 [info] Got 0 sessions for ...
2025-11-23 21:11:40.573 [info] Getting sessions for all scopes...
2025-11-23 21:11:40.573 [info] Got 0 sessions for ...
